ClientCity,View_Timestamp,MenuVisited_Sessions,OrderCreated_Sessions,OrderCanceled_Sessions
Новый Уренгой,2023-05-30,52216,12878,30
Вязьма,2023-05-30,14567,2231,12
Армавир,2023-05-30,7816,917,9
Урай,2023-05-30,15675,2657,38
Коломна,2023-05-30,19224,2749,13
Голицыно,2023-05-30,9401,1786,8
Кашира,2023-05-30,9404,1704,8
Арзамас,2023-05-30,6682,1023,4
Обнинск,2023-05-30,13275,2403,12
Железнодорожный,2023-05-30,28418,7253,24
Тосно,2023-05-30,15203,2314,29
Парголово,2023-05-30,20225,5686,13
Великий Новгород,2023-05-30,40645,7219,32
Майкоп,2023-05-30,9415,1716,9
Сестрорецк,2023-05-30,7649,1294,10
Переславль-Залесский,2023-05-30,8523,1424,14
Красногорск,2023-05-30,25640,5976,26
Глазов,2023-05-30,10078,1364,14
Владимир,2023-05-30,13126,2493,11
Шахты,2023-05-30,9993,1299,13
Костомукша,2023-05-30,15191,2509,9
Зеленодольск,2023-05-30,13674,1867,15
Рыбинск,2023-05-30,11349,2127,6
Каменск-Шахтинский,2023-05-30,14007,2232,15
Липецк,2023-05-30,19681,3568,22
Магнитогорск,2023-05-30,29521,6190,58
Щербинка,2023-05-30,10079,2671,10
Димитровград,2023-05-30,8570,1339,15
Нижний Тагил,2023-05-30,34771,6623,46
Первоуральск,2023-05-30,16353,2936,15
Оренбург,2023-05-30,89246,19074,110
Печора,2023-05-30,18577,2613,13
Дубна,2023-05-30,26055,4500,9
Орск,2023-05-30,22085,4123,28
Лосино-Петровский,2023-05-30,895,1,0
Батайск,2023-05-30,11068,1575,12
Хотьково,2023-05-30,6486,1183,4
Волхов,2023-05-30,15158,2330,12
Всеволожск,2023-05-30,17657,4164,46
Лениногорск,2023-05-30,7849,349,2
Ижевск,2023-05-30,48457,9688,26
Металлострой,2023-05-30,6372,1421,7
Кронштадт,2023-05-30,10869,1948,16
Электроугли,2023-05-30,8905,1546,4
Славянка,2023-05-30,248,0,0
Новочеркасск,2023-05-30,17818,3460,16
Яблоновский,2023-05-30,6286,1421,11
Новокуйбышевск,2023-05-30,19019,3656,8
Путилково,2023-05-30,7206,1816,0
Заречный (Пензенская обл.),2023-05-30,9151,1590,20
Михайловка,2023-05-30,7781,1110,15
Невинномысск,2023-05-30,19415,3788,36
Ишимбай,2023-05-30,13495,1842,11
Щелково,2023-05-30,32579,6760,63
Аксай,2023-05-30,11857,1837,17
Горно-Алтайск,2023-05-30,21542,3856,49
Тула,2023-05-30,34740,5771,27
Солнечногорск,2023-05-30,9483,1760,5
Воскресенск,2023-05-30,13963,2486,9
Бердск,2023-05-30,19186,4040,24
Ессентуки,2023-05-30,11143,2367,18
Можайск,2023-05-30,16593,2365,17
Туймазы,2023-05-30,11566,1707,30
Звенигород,2023-05-30,11353,1989,8
Муром,2023-05-30,7892,1385,8
Бронницы,2023-05-30,9453,1622,11
Ржев,2023-05-30,12842,1832,14
Боброво (Московская обл.),2023-05-30,7837,2374,10
Московский,2023-05-30,12538,3460,9
Шадринск,2023-05-30,12384,1264,6
Минеральные Воды,2023-05-30,11896,2084,25
Серпухов,2023-05-30,22291,4291,19
Усинск,2023-05-30,16187,2677,11
Лангепас,2023-05-30,10685,1920,25
Сосновый Бор,2023-05-30,16754,3478,9
Фрязино,2023-05-30,15708,3053,18
Павловский Посад,2023-05-30,15096,2495,24
Дедовск,2023-05-30,10134,2482,3
Балаково,2023-05-30,17564,3768,18
Ейск,2023-05-30,6436,957,2
Железногорск (Курская обл.),2023-05-30,4632,1106,15
Реутов,2023-05-30,17135,5167,24
Вышний Волочек,2023-05-30,8449,1324,11
Новомосковск,2023-05-30,10105,1444,16
Лобня,2023-05-30,19779,3603,14
Крымск,2023-05-30,6008,931,3
Александров,2023-05-30,7333,894,0
Новокузнецк,2023-05-30,29193,4637,21
Истра,2023-05-30,7304,1443,2
Луга,2023-05-30,10789,1830,8
Сарапул,2023-05-30,11347,1750,8
Шлиссельбург,2023-05-30,15405,2154,25
Бугульма,2023-05-30,13388,2160,31
Кстово,2023-05-30,9414,1361,10
Ломоносов,2023-05-30,9187,1846,11
Губкинский,2023-05-30,12298,2734,24
Калуга,2023-05-30,21078,3213,12
Дзержинский,2023-05-30,5876,1375,7
Новоивановское,2023-05-30,4687,1162,2
Сланцы,2023-05-30,8727,1171,17
Кощейково,2023-05-30,4651,872,6
Кириши,2023-05-30,18610,3606,21
Отрадное (Лен. обл.),2023-05-30,341,0,0
Югорск,2023-05-30,16578,3083,31
Нахабино,2023-05-30,7863,1872,10
Соликамск,2023-05-30,14064,1896,41
Тарко-Сале,2023-05-30,12338,1973,14
Шатура,2023-05-30,9656,1717,7
Радужный (Владимирская обл.),2023-05-30,3191,550,4
Новоуральск,2023-05-30,9446,1377,9
Волоколамск,2023-05-30,9832,1630,3
Барнаул,2023-05-30,23615,3743,22
Муравленко,2023-05-30,13583,2351,4
Елабуга,2023-05-30,8709,1390,9
Ангарск,2023-05-30,18257,3109,62
Нягань,2023-05-30,17640,3982,38
Чайковский,2023-05-30,11231,1950,19
Каменск-Уральский,2023-05-30,19777,3346,20
Горячий Ключ,2023-05-30,8936,1128,12
Лянтор,2023-05-30,11207,1771,20
Полевской,2023-05-30,7734,995,17
Зеленокумск,2023-05-30,2509,448,2
Краснокамск,2023-05-30,10919,2109,38
Тобольск,2023-05-30,18494,4751,14
Соль-Илецк,2023-05-30,7502,1084,8
Северск,2023-05-30,18848,3617,12
,2023-05-30,2128,265,0
Салават,2023-05-30,20415,3545,14
Железногорск (Красноярский край),2023-05-30,13459,2248,9
Копейск,2023-05-30,15579,3008,31
Кировск (Лен. область),2023-05-30,41,0,0
Орел,2023-05-30,928,107,0
Канск,2023-05-30,10926,1848,41
Ярославль,2023-05-30,168,0,0
Кировск (Ленинградская область),2023-05-30,740,0,1
Кувандык,2023-05-30,5515,737,2
Корабсельки,2023-05-30,288,1,0
Лабытнанги,2023-05-30,14239,2223,6
Вельск,2023-05-30,4375,611,4
Островцы,2023-05-30,2965,718,1
Ленинск-Кузнецкий,2023-05-30,12312,2063,10
Климовск,2023-05-30,1620,0,0
Куровское,2023-05-30,409,1,0
Кировск (Мурманская обл.),2023-05-30,606,0,0
Стрежевой,2023-05-30,12259,2294,25
Павловск,2023-05-30,63,0,0
Ульяновка,2023-05-30,311,0,0
Междуреченск,2023-05-30,10880,1614,29
Дрезна,2023-05-30,147,0,0
Селятино,2023-05-30,492,0,0
Куйбышев,2023-05-30,6552,761,10
Краснообск,2023-05-30,40,0,0
Новоалтайск,2023-05-30,97,0,0
Барабинск,2023-05-30,267,0,0
Гусь-Хрустальный,2023-05-30,160,0,0
Сколково,2023-05-30,212,0,0
Монино,2023-05-30,237,0,0
Рассказовка (Москва),2023-05-30,119,0,0
Софрино,2023-05-30,191,0,0
Артём,2023-05-30,1253,183,1
Барнаул (Алтайский край),2023-05-30,65,2,0
Красный Бор (Ленинградская обл.),2023-05-30,43,0,0
Советский,2023-06-01,13,0,0
Янино-1,2023-06-14,93,0,0
Октябрьский (Р. Башкортостан),2023-05-31,17,2,0
Плесецк,2023-05-30,6,0,0
Нальчик,2023-06-04,5,0,0
Кумертау,2023-06-19,22,0,0
Октябрьский (Московская обл.),2023-06-04,7,0,0
Калининец,2023-05-31,9,0,0
undefined,2023-06-16,1,0,0
Серов,2023-05-31,1,0,0
