utc_event_date,revenue_main
30/08/21,4671235
31/08/21,4853610
01/09/21,4715426
02/09/21,5430123
03/09/21,5633315
04/09/21,4404025
05/09/21,5440092
06/09/21,5241593
07/09/21,5831982
08/09/21,5434022
09/09/21,5567628
10/09/21,5813626
11/09/21,4919412
12/09/21,4451720
13/09/21,5620875
14/09/21,5792266
15/09/21,6456052
16/09/21,7001162
17/09/21,5552379
18/09/21,4923909
19/09/21,5762401
20/09/21,6727206
21/09/21,6446255
22/09/21,6993566
23/09/21,5939417
24/09/21,7318912
25/09/21,5135521
26/09/21,5422106
27/09/21,5611406
28/09/21,6070825
29/09/21,5766276
30/09/21,5753324
01/10/21,5748739
02/10/21,4941473
03/10/21,4710904
04/10/21,5790269
05/10/21,6000793
06/10/21,5879151
07/10/21,6431153
08/10/21,5960368
09/10/21,4942907
10/10/21,5586317
11/10/21,6808723
12/10/21,6487711
13/10/21,6194745
14/10/21,6788527
15/10/21,7314385
16/10/21,5371143
17/10/21,5694320
18/10/21,6535458
19/10/21,12616220
20/10/21,14709007
21/10/21,16152759
22/10/21,16125207
23/10/21,16354258
24/10/21,17532673
25/10/21,16636887
26/10/21,15942381
27/10/21,15710835
28/10/21,18825021
29/10/21,18965733
30/10/21,15703455
31/10/21,16207123
01/11/21,16384587
02/11/21,17217095
03/11/21,17391325
04/11/21,16817255
05/11/21,15615666
06/11/21,15066843
07/11/21,16540160
08/11/21,14559449
09/11/21,16418786
10/11/21,18752150
11/11/21,31564647
12/11/21,20255165
13/11/21,17721245
14/11/21,16166741
15/11/21,13295112
16/11/21,10980485
17/11/21,14111715
18/11/21,13363469
19/11/21,17187046
20/11/21,15828477
21/11/21,16899453
22/11/21,21753506
23/11/21,22616573
24/11/21,21523036
25/11/21,21891876
26/11/21,28084593
27/11/21,21363617
28/11/21,20512730
29/11/21,15896980
30/11/21,16502950
01/12/21,17603190
02/12/21,13938691
03/12/21,15111755
04/12/21,14832549
05/12/21,16704318
06/12/21,15240253
07/12/21,15861156
08/12/21,16895718
09/12/21,16732832
10/12/21,18363903
11/12/21,16825201
12/12/21,17378705
13/12/21,16545686
14/12/21,16881465
15/12/21,19246319
16/12/21,17045245
17/12/21,16989397
18/12/21,17070576
19/12/21,18600748
20/12/21,17822165
21/12/21,16791942
22/12/21,17086381
23/12/21,16342775
24/12/21,17017538
25/12/21,15742118
26/12/21,13117631
27/12/21,11839527
28/12/21,10249698
29/12/21,8997973
30/12/21,6870310
31/12/21,6933892
01/01/22,1132740
02/01/22,272737
03/01/22,722148
04/01/22,642233
05/01/22,5958643
06/01/22,3036838
08/01/22,1624497
09/01/22,764455
10/01/22,3965228
11/01/22,2066407
13/01/22,1755147
14/01/22,2096289
15/01/22,320075
18/01/22,2896518
20/01/22,2495111
21/01/22,2144291
22/01/22,14706835
23/01/22,6818704
25/01/22,1210120
26/01/22,8794237
27/01/22,5096125
28/01/22,15829026
29/01/22,8597023
30/01/22,5874540
31/01/22,8021396
02/02/22,8929950
03/02/22,4801635
14/02/22,5623450
21/02/22,11744576
22/02/22,13554142
23/02/22,14267320
24/02/22,19195465
25/02/22,17730427
26/02/22,16299163
27/02/22,17366742
28/02/22,15709176
01/03/22,17705006
02/03/22,17934243
03/03/22,18323767
04/03/22,17519241
05/03/22,21100967
06/03/22,19342137
07/03/22,16249323
08/03/22,17106466
09/03/22,19951102
10/03/22,19623187.62878401
11/03/22,21851388.69863001
12/03/22,22375237.045899004
13/03/22,21094799.661250006
15/03/22,13293892.088410001
16/03/22,11715998.087450003
17/03/22,9604409.049849989
18/03/22,22515121.882500015
19/03/22,18758290.524890013
20/03/22,18375924.244450003
21/03/22,17796482.219327006
22/03/22,18927276.186370008
23/03/22,18136964.552223995
24/03/22,17141763.081187997
25/03/22,17917680.246246
26/03/22,17322626.376389995
27/03/22,18380212.549623996
28/03/22,19634650.146683004
29/03/22,19146958.091515988
30/03/22,19471947.341016
31/03/22,16920868.261040002
01/04/22,18460416.827972014
02/04/22,17272584.80924701
03/04/22,18828771.406051002
04/04/22,19642285.986559
05/04/22,10307401.528369995
06/04/22,19379622.418816004
07/04/22,20572971.09552399
08/04/22,19274535.651384998
09/04/22,18729800.725018002
10/04/22,20635031.845788006
11/04/22,19400112.946408
12/04/22,20266185.307841007
13/04/22,14539576.604035014
14/04/22,20096530.067610003
15/04/22,21292320.826639995
16/04/22,18777661.35532
17/04/22,20281844.111819997
18/04/22,19639846.26582001
19/04/22,11201147.978003997
20/04/22,18168388.747210994
21/04/22,17476843.395796012
22/04/22,14288700.099370005
23/04/22,7282783.593692002
24/04/22,4201247.763594003
25/04/22,16812996.532585002
26/04/22,15967138.512502005
28/04/22,16598372.240896013
29/04/22,15893274.751947984
30/04/22,12427819.246767007
01/05/22,14389458.290552001
02/05/22,3523963.8219849984
03/05/22,5856281.922008
04/05/22,12504852.491439003
05/05/22,4710042.231507999
07/05/22,10122163.699569995
08/05/22,2411655.11667
09/05/22,3960955.939589999
10/05/22,3006196.7446300006
12/05/22,14887237.540731989
15/05/22,5029338.748279999
16/05/22,6607452.398030001
17/05/22,4228999.9760799995
18/05/22,5878358.155426004
19/05/22,11661516.255732
20/05/22,7024879.8056139955
21/05/22,12987544.80473999
22/05/22,14936292.137640996
23/05/22,14629749.752750002
24/05/22,13813671.155219987
25/05/22,14393558.139490003
26/05/22,15731031.161728006
27/05/22,15292392.427992005
28/05/22,12976946.641552003
29/05/22,14225229.248009998
30/05/22,14625032.334610004
